,realAltitude,kalmanAltitude
578,1550.56,1549.9
579,1550.85,1549.91
580,1550.47,1549.92
581,1550.28,1549.92
582,1550.56,1549.93
583,1550.85,1549.94
584,1551.23,1549.95
585,1550.76,1549.96
586,1550.85,1549.96
587,1550.76,1549.97
588,1551.14,1549.98
589,1551.62,1550.0
590,1550.76,1550.01
591,1550.28,1550.01
592,1550.95,1550.02
593,1550.47,1550.02
594,1551.04,1550.03
595,1551.14,1550.04
596,1551.14,1550.05
597,1550.37,1550.05
598,1551.04,1550.06
599,1551.04,1550.07
600,1551.23,1550.08
601,1551.33,1550.09
602,1551.04,1550.1
603,1550.18,1550.1
604,1551.14,1550.11
605,1551.23,1550.12
606,1551.04,1550.13
607,1551.52,1550.15
608,1551.52,1550.16
609,1550.56,1550.16
610,1550.66,1550.17
611,1550.56,1550.17
612,1550.28,1550.17
613,1551.04,1550.18
614,1550.85,1550.19
615,1551.14,1550.2
616,1550.47,1550.2
617,1550.66,1550.2
618,1550.56,1550.21
619,1551.14,1550.21
620,1551.04,1550.22
621,1550.85,1550.23
622,1551.23,1550.24
623,1550.66,1550.24
624,1550.56,1550.24
625,1551.33,1550.25
626,1551.33,1550.26
627,1550.95,1550.27
628,1550.47,1550.27
629,1551.23,1550.28
630,1551.14,1550.29
631,1550.95,1550.29
632,1550.66,1550.29
633,1551.14,1550.3
634,1550.95,1550.31
635,1551.23,1550.32
636,1551.33,1550.33
637,1551.23,1550.33
638,1551.43,1550.34
639,1551.23,1550.35
640,1551.33,1550.36
641,1552.19,1550.38
642,1552.38,1550.39
643,1552.19,1550.41
644,1552.19,1550.43
645,1552.38,1550.44
646,1552.29,1550.46
647,1552.19,1550.48
648,1552.29,1550.49
649,1552.29,1550.51
650,1552.67,1550.53
651,1552.58,1550.55
652,1553.54,1550.58
653,1553.15,1550.61
654,1553.25,1550.63
655,1553.44,1550.66
656,1553.82,1550.69
657,1553.34,1550.72
658,1553.63,1550.75
659,1553.54,1550.79
660,1553.34,1550.81
661,1553.25,1550.84
662,1553.82,1550.88
663,1554.4,1550.92
664,1554.21,1550.96
665,1554.21,1551.0
666,1554.02,1551.03
667,1553.54,1551.07
668,1553.82,1551.1
669,1554.21,1551.14
670,1553.34,1551.17
671,1554.21,1551.21
672,1554.3,1551.25
673,1554.21,1551.29
674,1554.3,1551.34
675,1554.49,1551.38
676,1554.4,1551.42
677,1554.21,1551.46
678,1554.49,1551.51
679,1554.21,1551.55
680,1554.49,1551.6
681,1554.4,1551.64
682,1554.49,1551.68
683,1554.21,1551.72
684,1554.4,1551.77
685,1554.3,1551.81
686,1554.21,1551.85
687,1554.02,1551.88
688,1554.4,1551.92
689,1553.63,1551.95
690,1554.59,1552.0
691,1554.78,1552.04
692,1554.3,1552.08
693,1554.02,1552.11
694,1554.3,1552.15
695,1554.78,1552.2
696,1554.88,1552.24
697,1554.59,1552.28
698,1554.69,1552.32
699,1554.3,1552.36
700,1554.59,1552.4
701,1553.92,1552.43
702,1554.59,1552.46
703,1554.59,1552.5
704,1554.49,1552.54
705,1555.07,1552.58
706,1554.69,1552.62
707,1555.17,1552.67
708,1554.88,1552.71
709,1554.59,1552.74
710,1555.26,1552.79
711,1554.59,1552.82
712,1554.49,1552.85
713,1554.69,1552.88
714,1554.69,1552.92
715,1554.4,1552.94
716,1554.59,1552.97
717,1555.07,1553.01
718,1553.82,1553.03
719,1554.4,1553.05
720,1554.3,1553.07
721,1554.21,1553.09
722,1554.4,1553.12
723,1554.69,1553.14
724,1554.4,1553.17
725,1554.21,1553.19
726,1554.4,1553.21
727,1554.69,1553.23
728,1554.49,1553.25
729,1554.3,1553.27
730,1555.07,1553.3
731,1554.78,1553.33
732,1555.26,1553.36
733,1554.49,1553.38
734,1555.26,1553.41
735,1555.07,1553.44
736,1554.97,1553.47
737,1555.07,1553.49
738,1555.07,1553.52
739,1554.78,1553.54
740,1554.4,1553.56
741,1555.07,1553.58
742,1554.78,1553.6
743,1555.07,1553.62
744,1555.07,1553.65
745,1554.59,1553.66
746,1554.59,1553.68
747,1555.07,1553.7
748,1554.88,1553.72
749,1554.88,1553.74
750,1555.45,1553.77
751,1555.07,1553.79
752,1554.78,1553.8
753,1554.97,1553.82
754,1555.36,1553.85
755,1554.97,1553.86
756,1555.07,1553.88
757,1555.17,1553.9
758,1555.26,1553.93
759,1555.07,1553.94
760,1554.97,1553.96
761,1555.26,1553.98
762,1554.97,1553.99
763,1555.74,1554.02
764,1555.17,1554.04
765,1555.26,1554.06
766,1555.17,1554.07
767,1554.88,1554.09
768,1555.65,1554.11
769,1555.17,1554.13
770,1555.17,1554.14
771,1555.17,1554.16
772,1555.36,1554.18
773,1555.26,1554.19
774,1555.65,1554.21
775,1555.17,1554.23
776,1555.17,1554.24
777,1555.07,1554.25
778,1554.97,1554.26
779,1555.17,1554.28
780,1555.36,1554.29
781,1554.78,1554.3
782,1555.07,1554.31
783,1555.17,1554.32
784,1555.17,1554.33
785,1555.17,1554.35
786,1555.17,1554.36
787,1554.97,1554.36
788,1555.26,1554.38
789,1554.59,1554.38
790,1554.78,1554.39
791,1555.07,1554.39
792,1555.45,1554.41
793,1555.17,1554.42
794,1555.07,1554.43
795,1555.17,1554.44
796,1555.17,1554.45
797,1554.97,1554.45
798,1555.26,1554.46
799,1554.78,1554.47
800,1554.4,1554.47
801,1554.59,1554.47
802,1554.49,1554.47
803,1553.82,1554.46
804,1554.11,1554.46
805,1554.21,1554.45
806,1553.34,1554.44
807,1553.54,1554.43
808,1553.25,1554.42
809,1553.54,1554.41
810,1553.63,1554.4
811,1553.34,1554.38
812,1553.73,1554.38
813,1553.54,1554.37
814,1553.63,1554.36
815,1553.73,1554.35
816,1553.44,1554.34
817,1553.73,1554.33
818,1553.92,1554.33
819,1554.11,1554.33
820,1553.63,1554.32
821,1554.3,1554.32
822,1553.73,1554.31
823,1553.44,1554.3
824,1553.73,1554.3
825,1553.73,1554.29
826,1554.49,1554.29
827,1553.82,1554.29
828,1553.34,1554.28
829,1554.4,1554.28
830,1554.4,1554.28
831,1554.4,1554.28
832,1553.82,1554.28
833,1553.92,1554.27
834,1553.63,1554.26
835,1554.11,1554.26
