Index, Raw, Filtered
438, 1558.14, 1560.09
439, 1557.85, 1560.02
440, 1557.85, 1559.96
441, 1558.04, 1559.96
442, 1558.04, 1559.95
443, 1558.14, 1559.97
444, 1557.85, 1559.92
445, 1557.85, 1559.87
446, 1557.95, 1559.86
447, 1557.76, 1559.81
448, 1557.85, 1559.79
449, 1557.95, 1559.79
450, 1557.95, 1559.80
451, 1557.95, 1559.81
452, 1557.76, 1559.77
453, 1557.85, 1559.77
454, 1557.56, 1559.70
455, 1557.76, 1559.69
456, 1558.24, 1559.79
457, 1557.47, 1559.70
458, 1557.56, 1559.65
459, 1557.76, 1559.65
460, 1557.56, 1559.62
461, 1558.52, 1559.80
462, 1558.14, 1559.86
463, 1557.76, 1559.83
464, 1557.56, 1559.76
465, 1558.24, 1559.86
466, 1558.04, 1559.90
467, 1558.24, 1559.97
468, 1558.14, 1560.01
469, 1558.24, 1560.07
470, 1558.43, 1560.16
471, 1557.95, 1560.12
472, 1558.04, 1560.12
473, 1558.43, 1560.19
474, 1558.71, 1560.32
475, 1558.62, 1560.40
476, 1558.33, 1560.40
477, 1558.43, 1560.42
478, 1558.62, 1560.48
479, 1558.33, 1560.47
480, 1558.43, 1560.48
481, 1558.04, 1560.40
482, 1558.71, 1560.49
483, 1558.52, 1560.52
484, 1558.62, 1560.56
485, 1558.43, 1560.55
486, 1558.62, 1560.58
487, 1558.52, 1560.59
488, 1558.43, 1560.57
489, 1557.95, 1560.44
490, 1558.43, 1560.45
491, 1558.24, 1560.41
492, 1558.04, 1560.34
493, 1558.81, 1560.45
494, 1558.14, 1560.39
495, 1558.24, 1560.37
496, 1558.33, 1560.37
497, 1558.33, 1560.37
498, 1558.14, 1560.33
499, 1557.95, 1560.26
500, 1558.43, 1560.30
501, 1557.95, 1560.24
502, 1558.14, 1560.22
503, 1558.52, 1560.30
504, 1558.04, 1560.26
505, 1558.43, 1560.31
506, 1559.10, 1560.51
507, 1558.71, 1560.58
508, 1558.43, 1560.58
509, 1558.33, 1560.55
510, 1558.33, 1560.53
511, 1558.43, 1560.54
512, 1558.43, 1560.55
513, 1558.52, 1560.57
514, 1558.71, 1560.64
515, 1558.62, 1560.67
516, 1559.19, 1560.82
517, 1558.24, 1560.73
518, 1558.71, 1560.76
519, 1558.71, 1560.79
520, 1558.81, 1560.83
521, 1558.62, 1560.82
522, 1558.62, 1560.81
523, 1558.52, 1560.78
524, 1558.33, 1560.71
525, 1558.52, 1560.69
526, 1558.14, 1560.59
527, 1558.33, 1560.55
528, 1558.52, 1560.56
529, 1558.62, 1560.59
530, 1558.52, 1560.59
531, 1558.14, 1560.51
532, 1558.43, 1560.50
533, 1558.33, 1560.48
534, 1558.52, 1560.50
535, 1558.91, 1560.61
536, 1558.52, 1560.61
537, 1558.71, 1560.65
538, 1558.43, 1560.62
539, 1558.52, 1560.62
540, 1558.81, 1560.68
541, 1558.71, 1560.71
542, 1559.19, 1560.85
543, 1559.10, 1560.93
544, 1558.81, 1560.94
545, 1558.52, 1560.88
546, 1558.91, 1560.91
547, 1559.10, 1560.99
548, 1559.29, 1561.09
549, 1558.33, 1560.96
550, 1558.81, 1560.96
551, 1558.52, 1560.89
552, 1558.62, 1560.86
553, 1558.62, 1560.84
554, 1558.71, 1560.84
555, 1558.91, 1560.88
556, 1558.52, 1560.83
557, 1558.52, 1560.79
558, 1558.81, 1560.82
559, 1558.52, 1560.79
560, 1558.33, 1560.71
561, 1558.71, 1560.74
562, 1558.71, 1560.76
563, 1558.81, 1560.80
564, 1558.71, 1560.81
565, 1558.52, 1560.77
566, 1558.43, 1560.72
567, 1558.91, 1560.79
568, 1558.81, 1560.83
569, 1558.33, 1560.74
570, 1558.33, 1560.68
571, 1558.43, 1560.65
572, 1558.62, 1560.67
573, 1558.81, 1560.72
574, 1558.91, 1560.79
575, 1558.71, 1560.81
576, 1558.81, 1560.84
577, 1558.52, 1560.80
578, 1558.81, 1560.83
579, 1558.71, 1560.84
580, 1558.91, 1560.88
581, 1558.71, 1560.88
582, 1558.71, 1560.87
583, 1558.62, 1560.85
584, 1558.33, 1560.76
585, 1558.24, 1560.67
586, 1558.81, 1560.73
587, 1558.81, 1560.78
588, 1558.52, 1560.75
589, 1558.81, 1560.79
590, 1558.81, 1560.83
591, 1558.52, 1560.79
592, 1558.62, 1560.78
593, 1558.71, 1560.80
594, 1558.33, 1560.72
595, 1558.43, 1560.68
596, 1558.62, 1560.69
597, 1558.33, 1560.64
598, 1558.52, 1560.64
599, 1557.85, 1560.49
600, 1558.04, 1560.41
